threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,false_positive_rate,false_negative_rate,balanced_score,reader_priority_score
-7.017025,5.2700576822233876,34.544688909591926,0.980022615906521,43.065753298599176,12.747631352282514,10.068169900367069,8.89558989822842,87.25236864771749,8.89558989822842,27.906692325440844,33.970316714704175
-7.0,5.2700576822233876,34.49710588749606,0.980022615906521,42.99734709947606,12.747631352282514,10.17304667016256,9.046362608367886,87.25236864771749,9.046362608367886,27.872489225879285,33.922432375317996
-6.648094,5.873099108547457,34.54826008823099,0.980022615906521,42.20394420524425,14.728682170542635,12.087047718930258,10.931021485111195,85.27131782945736,10.931021485111195,28.46631318789344,33.96136559483376
-6.5,6.2139486103828006,34.75288229668947,0.9423294383716547,41.97040824710654,15.934539190353144,12.978500262191924,11.684885035808518,84.06546080964685,11.684885035808518,28.95247371872984,34.15964753008052
-6.291977,6.685894074462507,34.99382991382489,0.9423294383716547,41.6383216326152,17.48492678725237,14.079706345044572,12.589521296645307,82.51507321274764,12.589521296645307,29.561624209933786,34.39230317900635
-6.041231,7.446250655479811,35.43749588261296,0.9423294383716547,41.18304157417483,19.982773471145563,16.072364971158887,14.361100640784018,80.01722652885444,14.361100640784018,30.582907522660197,34.82296114326605
-6.0,7.498689040377556,35.38311487346175,0.9423294383716547,41.02947611284701,20.155038759689923,16.41321447299423,14.775725593667547,79.84496124031008,14.775725593667547,30.592257436268465,34.76714490689988
-5.710575,7.996853696906135,35.35565555254838,0.9046362608367885,40.2361365538709,21.877691645133506,18.065023597273203,16.396532227666793,78.12230835486649,16.396532227666793,31.0569140995022,34.72860308124968
-5.5,8.468799160985842,35.42422919968292,0.9046362608367885,39.65624205337002,23.42807924203273,19.664394336654432,18.017338861666037,76.57192075796726,18.017338861666037,31.542160647701376,34.78779320996883
-5.458283,8.704771893025695,35.57515483255871,0.9046362608367885,39.53397683052353,24.203273040482344,20.083901415836394,18.2811911044101,75.79672695951766,18.2811911044101,31.868624935502936,34.93476569351117
