threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,balanced_score,reader_priority_score
-1.0,26.0,32.30833333333333,0.0,9.276960784313726,78.125,77.0,76.47058823529412,43.700980392156865,29.931372549019606
-0.9,26.0,32.30833333333333,0.0,9.276960784313726,78.125,77.0,76.47058823529412,43.700980392156865,29.931372549019606
-0.8,26.0,32.30833333333333,0.0,9.276960784313726,78.125,78.0,77.94117647058823,43.700980392156865,29.931372549019606
-0.731814,26.0,32.30833333333333,0.0,9.276960784313726,78.125,78.0,77.94117647058823,43.700980392156865,29.931372549019606
-0.7,26.0,32.30833333333333,0.0,9.276960784313726,78.125,78.0,77.94117647058823,43.700980392156865,29.931372549019606
-0.6,27.0,33.30833333333333,0.0,9.276960784313726,81.25,80.0,79.41176470588235,45.263480392156865,30.868872549019606
-0.557894,27.0,33.30833333333333,0.0,9.276960784313726,81.25,80.0,79.41176470588235,45.263480392156865,30.868872549019606
-0.5,27.0,33.30833333333333,0.0,9.276960784313726,81.25,81.0,80.88235294117646,45.263480392156865,30.868872549019606
-0.483659,27.0,32.90833333333333,0.0,8.688725490196079,81.25,82.0,82.3529411764706,44.96936274509804,30.457107843137255
-0.4,27.0,32.90833333333333,0.0,8.688725490196079,81.25,83.0,83.82352941176471,44.96936274509804,30.457107843137255
-0.301905,28.0,33.90833333333333,0.0,8.688725490196079,84.375,84.0,83.82352941176471,46.53186274509804,31.394607843137255
-0.3,28.0,33.90833333333333,0.0,8.688725490196079,84.375,84.0,83.82352941176471,46.53186274509804,31.394607843137255
-0.2,29.0,34.90833333333333,0.0,8.688725490196079,87.5,85.0,83.82352941176471,48.09436274509804,32.33210784313725
-0.1,29.0,34.90833333333333,0.0,8.688725490196079,90.625,86.0,83.82352941176471,49.65686274509804,33.26960784313725
-0.083417,29.0,34.90833333333333,0.0,8.688725490196079,90.625,86.0,83.82352941176471,49.65686274509804,33.26960784313725
0.0,29.0,34.90833333333333,0.0,8.688725490196079,90.625,86.0,83.82352941176471,49.65686274509804,33.26960784313725
0.1,30.0,35.90833333333333,0.0,8.688725490196079,93.75,87.0,83.82352941176471,51.21936274509804,34.20710784313725
0.2,30.0,35.90833333333333,0.0,8.688725490196079,93.75,88.0,85.29411764705883,51.21936274509804,34.20710784313725
0.284227,30.0,35.90833333333333,0.0,8.688725490196079,93.75,88.0,85.29411764705883,51.21936274509804,34.20710784313725
0.3,30.0,35.90833333333333,0.0,8.688725490196079,93.75,88.0,85.29411764705883,51.21936274509804,34.20710784313725
0.4,30.0,35.90833333333333,0.0,8.688725490196079,93.75,88.0,85.29411764705883,51.21936274509804,34.20710784313725
0.5,30.0,35.90833333333333,0.0,8.688725490196079,93.75,88.0,85.29411764705883,51.21936274509804,34.20710784313725
0.579031,30.0,35.208333333333336,0.0,7.659313725490195,93.75,90.0,88.23529411764706,50.7046568627451,33.486519607843135
0.6,30.0,35.208333333333336,0.0,7.659313725490195,93.75,90.0,88.23529411764706,50.7046568627451,33.486519607843135
0.7,31.0,36.208333333333336,0.0,7.659313725490195,96.875,91.0,88.23529411764706,52.2671568627451,34.424019607843135
0.8,31.0,36.208333333333336,0.0,7.659313725490195,96.875,91.0,88.23529411764706,52.2671568627451,34.424019607843135
0.837285,31.0,35.375,0.0,6.4338235294117645,96.875,92.0,89.70588235294117,51.654411764705884,33.56617647058823
0.9,31.0,34.708333333333336,0.0,5.453431372549019,96.875,93.0,91.17647058823529,51.16421568627451,32.879901960784316
0.950533,31.0,34.208333333333336,0.0,4.7181372549019605,96.875,94.0,92.6470588235294,50.79656862745098,32.365196078431374
1.0,31.0,34.208333333333336,0.0,4.7181372549019605,96.875,94.0,92.6470588235294,50.79656862745098,32.365196078431374
1.1,31.0,34.208333333333336,0.0,4.7181372549019605,96.875,94.0,92.6470588235294,50.79656862745098,32.365196078431374
1.2,31.0,33.708333333333336,0.0,3.9828431372549016,96.875,95.0,94.11764705882354,50.42892156862745,31.850490196078432
1.3,31.0,33.708333333333336,0.0,3.9828431372549016,96.875,95.0,94.11764705882354,50.42892156862745,31.850490196078432
1.378725,31.0,33.041666666666664,0.0,3.002450980392157,96.875,96.0,95.58823529411765,49.93872549019608,31.16421568627451
1.4,31.0,33.041666666666664,0.0,3.002450980392157,96.875,96.0,95.58823529411765,49.93872549019608,31.16421568627451
1.489335,32.0,33.541666666666664,0.0,2.267156862745098,100.0,98.0,97.05882352941177,51.13357843137255,31.587009803921568
1.5,32.0,33.541666666666664,0.0,2.267156862745098,100.0,98.0,97.05882352941177,51.13357843137255,31.587009803921568
1.6,32.0,32.875,0.0,1.286764705882353,100.0,99.0,98.52941176470588,50.643382352941174,30.90073529411765
1.7,32.0,32.875,0.0,1.286764705882353,100.0,99.0,98.52941176470588,50.643382352941174,30.90073529411765
1.8,32.0,32.875,0.0,1.286764705882353,100.0,99.0,98.52941176470588,50.643382352941174,30.90073529411765
1.9,32.0,32.875,0.0,1.286764705882353,100.0,99.0,98.52941176470588,50.643382352941174,30.90073529411765
2.0,32.0,32.875,0.0,1.286764705882353,100.0,99.0,98.52941176470588,50.643382352941174,30.90073529411765
2.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
3.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
3.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
4.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
4.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
5.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
5.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
6.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
6.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
7.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
7.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
8.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
8.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
9.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
9.5,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
10.0,32.0,32.0,0.0,0.0,100.0,100.0,100.0,50.0,30.0
